frame,tipo_objeto,confianza,tracking_id,x1,y1,x2,y2,matricula_conf,mx1,my1,mx2,my2,texto_matricula
62,person,0.833311140537262,2,1802,540,1873,733,0.0,0,0,0,0,
62,car,0.7998347282409668,3,1106,589,1206,678,0.0,0,0,0,0,
62,person,0.6294260621070862,13,1880,612,1919,735,0.0,0,0,0,0,
62,car,0.5987054109573364,7,0,517,213,608,0.0,0,0,0,0,
63,car,0.8725390434265137,1,1189,545,1486,779,0.7869130373001099,1275,640,1368,677,3871 LT
63,person,0.8292161226272583,2,1802,540,1874,733,0.0,0,0,0,0,
63,car,0.8137128949165344,3,1107,589,1208,678,0.0,0,0,0,0,
63,person,0.6266230940818787,13,1882,613,1919,735,0.0,0,0,0,0,
63,car,0.5863162875175476,7,0,517,209,609,0.0,0,0,0,0,
64,car,0.8650805354118347,1,1190,546,1486,779,0.8033053874969482,1274,638,1368,678,43871 LII
64,person,0.8319095373153687,2,1803,541,1874,733,0.0,0,0,0,0,
64,car,0.8170267939567566,3,1107,589,1209,677,0.0,0,0,0,0,
64,person,0.6126053333282471,13,1883,613,1919,735,0.0,0,0,0,0,
64,car,0.5486222505569458,7,0,516,205,609,0.0,0,0,0,0,
65,car,0.8590049743652344,1,1190,546,1486,779,0.8044531941413879,1277,638,1368,679,43871 LIE
65,person,0.8384559750556946,2,1803,542,1874,733,0.0,0,0,0,0,
65,car,0.765120804309845,3,1107,589,1209,676,0.0,0,0,0,0,
65,person,0.6185153126716614,13,1881,614,1919,735,0.0,0,0,0,0,
65,car,0.6067160367965698,7,0,516,199,609,0.0,0,0,0,0,
66,car,0.8718355298042297,1,1191,547,1487,779,0.7887791395187378,1276,638,1368,679,[3871
66,person,0.8362438678741455,2,1803,542,1874,733,0.0,0,0,0,0,
66,car,0.7303807735443115,3,1108,590,1209,676,0.0,0,0,0,0,
66,person,0.6332393884658813,13,1879,615,1919,735,0.0,0,0,0,0,
67,car,0.8728142380714417,1,1192,547,1487,778,0.7920907735824585,1276,638,1366,678,43871 LI
67,person,0.8338831663131714,2,1803,544,1875,732,0.0,0,0,0,0,
67,car,0.7309565544128418,3,1110,590,1209,676,0.0,0,0,0,0,
67,person,0.6199615597724915,13,1878,615,1919,735,0.0,0,0,0,0,
